area,city_raw,city_clean
吉林,吉林,吉林市
吉林,梅河口市,梅河口
新疆,第八师石河子,第八师
新疆,吐鲁番,吐鲁番地区
新疆,阿克苏,阿克苏地区
新疆,兵团第九师,第九师
新疆,六师五家渠,第六师
新疆,巴州,巴音郭楞蒙古自治州
新疆,兵团第十二师,第十二师
新疆,兵团第四师,第四师
新疆,喀什,喀什地区
内蒙古,锡林郭勒,锡林郭勒盟
甘肃,临夏,临夏州
天津,外地来津,外地来津人员
黑龙江,大兴安岭,大兴安岭地区
海南,陵水县,陵水黎族自治县
海南,琼中县,琼中黎族苗族自治县
海南,临高县,临高
海南,澄迈县,澄迈
海南,昌江县,昌江黎族自治县
海南,定安县,定安
海南,乐东,乐东黎族自治县
海南,保亭,保亭黎族苗族自治县
陕西,杨凌,杨凌示范区
云南,丽江市,丽江
云南,红河,红河州
云南,大理,大理州
云南,保山市,保山
云南,昭通市,昭通
云南,西双版纳州,西双版纳傣族自治州
云南,文山州,文山
上海,嘉定,嘉定区
上海,外地来沪,外地来沪人员
上海,松江,松江区
上海,黄浦,黄浦区
上海,长宁,长宁区
上海,青浦,青浦区
上海,闵行,闵行区
上海,静安,静安区
上海,虹口,虹口区
上海,宝山,宝山区
上海,浦东,浦东新区
上海,杨浦,杨浦区
上海,徐汇,徐汇区
上海,奉贤,奉贤区
上海,金山,金山区
上海,普陀,普陀区
上海,崇明,崇明区
上海,境外来沪,境外来沪人员
北京,东城,东城区
北京,海淀,海淀区
北京,大兴,大兴区
北京,朝阳,朝阳区
北京,丰台,丰台区
北京,门头沟,门头沟区
北京,通州,通州区
北京,顺义,顺义区
北京,石景山,石景山区
北京,西城,西城区
北京,怀柔,怀柔区
北京,昌平,昌平区
北京,外地来京,外地来京人员
北京,房山,房山区
北京,延庆,延庆区
北京,密云,密云区
北京,涉奥闭环人员,涉冬（残）奥闭环人员
四川,凉山,凉山州
四川,甘孜,甘孜州
四川,阿坝,阿坝州
湖南,湘西自治州,湘西州
河南,济源示范区,济源
湖北,恩施州,恩施
湖北,神农架,神农架林区
云南,德宏,德宏州
重庆,重庆高新区,高新区
辽宁,朝阳市,朝阳
